Date,return,cluster
2017-06-01,-0.001422337250130143,0
2017-06-02,-0.001310162521968148,0
2017-06-05,0.009972212161355753,0
2017-06-06,0.025701155714878802,0
2017-06-07,-0.002775944927345605,0
2017-06-08,0.007305155842033356,0
2017-06-09,-0.01572187894402705,0
2017-06-12,-0.0017275750200944485,0
2017-06-13,0.010627739779618077,0
2017-06-14,-0.01778655150460106,0
2017-06-15,-0.018184321225771655,0
2017-06-16,-0.004631587310936724,0
2017-06-19,0.015543857100980637,0
2017-06-20,0.005800575131805568,0
2017-06-21,0.021400983322191192,0
2017-06-22,0.0031666501274133767,0
2017-06-23,-0.009251185474907414,0
2017-06-26,0.006622582945357468,0
2017-06-27,-0.018948276201441686,0
2017-06-28,0.006276219521861094,0
2017-06-29,-0.010807697604114094,0
2017-06-30,-0.007539458726824655,0
2017-07-03,0.006043882129916134,0
2017-07-05,0.00699653949169554,0
2017-07-06,-0.0069975611898201555,0
2017-07-07,0.0026481384020868885,0
2017-07-10,-0.001498408289739579,0
2017-07-11,-7.542384833339249e-05,0
2017-07-12,0.003008004449813969,0
2017-07-13,0.0009543007803462971,0
2017-07-14,0.003485642342450054,0
2017-07-17,-0.0026597021042406425,0
2017-07-18,0.005602382965998437,0
2017-07-19,0.006574635020985171,0
2017-07-20,0.005356815447874511,0
2017-07-21,-0.0012432891203747948,0
2017-07-24,-0.00590179746538701,0
2017-07-25,0.0005778262141646132,0
2017-07-26,0.008729784113514343,0
2017-07-27,0.002839162544684336,0
2017-07-28,0.004264816253316797,0
2017-07-31,0.00618728828422273,0
2017-08-01,-0.0023998721938209137,0
2017-08-02,-0.0010465143104012222,0
2017-08-03,-0.0034065658979101046,0
2017-08-04,0.00043169779273742685,0
2017-08-07,0.004358236633400579,0
2017-08-08,-0.0014718708140956755,0
2017-08-09,-0.0017448001932741095,0
2017-08-10,-0.01210189753410405,0
2017-08-11,0.00021112616880013116,0
2017-08-14,0.00949472065745207,0
2017-08-15,0.0016839356012406442,0
2017-08-16,-2.4522158528747767e-05,0
2017-08-17,-0.013981345838552279,0
2017-08-18,-0.000519275482990152,0
2017-08-21,0.0021838952678188616,0
2017-08-22,0.011511950339204352,0
2017-08-23,-0.005037490610004903,0
2017-08-24,0.0018587327229801552,0
2017-08-25,-0.0030612014848705013,0
2017-08-28,0.004646701305680005,0
2017-08-29,0.00454752821712655,0
2017-08-30,0.008177320783828879,0
2017-08-31,0.00703567825334942,0
2017-09-01,-0.0019005162306135982,0
2017-09-05,-0.015215032021690278,0
2017-09-06,0.006262410407926248,0
2017-09-07,-0.0009665393288030592,0
2017-09-08,-0.005736441974698972,0
2017-09-11,0.016364124616606895,0
2017-09-12,0.00281899315552538,0
2017-09-13,0.00046478855334525996,0
2017-09-14,0.0065659992104125245,0
2017-09-15,0.004229674547385308,0
2017-09-18,0.010058430499677662,0
2017-09-19,0.004070677704834253,0
2017-09-20,-0.005366471770167213,0
2017-09-21,-0.004304122851625581,0
2017-09-22,-0.0024613114310459067,0
2017-09-25,-0.00418532874978732,0
2017-09-26,-0.002923705896875471,0
2017-09-27,0.0016610356886155022,0
2017-09-28,-0.00031830941773763985,0
2017-09-29,0.0029578996004746704,0
2017-10-02,0.014478089108210218,0
2017-10-03,0.0026942730739226645,0
2017-10-04,0.002024748553638556,0
2017-10-05,-0.002395013717812011,0
2017-10-06,-0.0034363319452369173,0
2017-10-09,-0.004651209065564442,0
2017-10-10,-0.001167822626313035,0
2017-10-11,-0.0008264057071650374,0
2017-10-12,-0.007163187919146965,0
2017-10-13,0.0019301675536917283,0
2017-10-16,-0.0022297427927614136,0
2017-10-17,0.020439541633618528,0
2017-10-18,0.001177982782727122,0
2017-10-19,0.00032802998826824813,0
2017-10-20,-0.0046632798187400525,0
2017-10-23,-0.008370194670229201,0
2017-10-24,0.0003861244878597141,0
2017-10-25,-0.0018964570063399935,0
2017-10-26,-0.004065047912525125,0
2017-10-27,0.002045388534777712,0
2017-10-30,-0.011948010974634687,0
2017-10-31,-0.0012320428068504845,0
2017-11-01,0.003867309866434562,0
2017-11-02,0.0029051674803309852,0
2017-11-03,-0.00044065766272707564,0
2017-11-06,0.005717562237884145,0
2017-11-07,-0.0014678625424644055,0
2017-11-08,0.0002975406362018139,0
2017-11-09,-0.0027196813210806094,0
2017-11-10,-0.001523539743177802,0
2017-11-13,0.007047579344619846,0
2017-11-14,-0.0030921935112771587,0
2017-11-15,-0.004420929549235312,0
2017-11-16,0.01344238695827905,0
2017-11-17,-0.006089727749492054,0
2017-11-20,0.006017761386720571,0
2017-11-21,0.00846466656564978,0
2017-11-22,-0.006098839516326375,0
2017-11-24,0.004897145299328921,0
2017-11-27,-0.004190661821451322,0
2017-11-28,0.011249237063361471,0
2017-11-29,-0.00859494094949603,0
2017-11-30,0.015606981248026928,0
2017-12-01,0.0051218020497261745,0
2017-12-04,0.015547599277391919,0
2017-12-05,-0.005529463430393617,0
2017-12-06,-0.005486493528608712,0
2017-12-07,-0.0011823314380465738,0
2017-12-08,0.00390760500713507,0
2017-12-11,0.0015170687190637622,0
2017-12-12,0.009067918641287975,0
2017-12-13,-0.010184190059540977,0
2017-12-14,-0.008348053300290871,0
2017-12-15,0.007832671033235934,0
2017-12-18,0.00941572470808012,0
2017-12-19,-0.009252771858509626,0
2017-12-20,-0.0005802719314636909,0
2017-12-21,0.009235609580366847,0
2017-12-22,-0.00468388932350854,0
2017-12-26,-0.00458096655677688,0
2017-12-27,0.004122731801100014,0
2017-12-28,0.0037004168384276604,0
2017-12-29,-0.007528440224974597,0
