Date,sentiment_return
2021-12-01,-0.021107034766910775
2021-12-02,0.012620329773172194
2021-12-03,-0.01690473978174428
2021-12-06,0.006799620715295402
2021-12-07,0.027311342827991306
2021-12-08,0.00470206915048011
2021-12-09,-0.011829045167040692
2021-12-10,0.009224926204735823
2021-12-13,-0.017582644817498078
2021-12-14,-0.005134902070991321
2021-12-15,0.02248625710383732
2021-12-16,-0.01891065264612468
2021-12-17,-0.008782359318496169
2021-12-20,-0.014625234793195704
2021-12-21,0.027935126661428597
2021-12-22,0.010651582288709853
2021-12-23,0.010133705421509159
2021-12-27,0.015778208797334
2021-12-28,-0.0025267667374896502
2021-12-29,-0.0015273507311133082
2021-12-30,-0.003939473283865172
2021-12-31,-0.004848821007259363
2022-01-03,0.01935887583063453
2022-01-04,-0.002021667653131049
2022-01-05,-0.023508131539798763
2022-01-06,-0.0008803142763234188
2022-01-07,-0.002454447066131854
2022-01-10,-0.004159133964789364
2022-01-11,0.010597868201549471
2022-01-12,0.004550608901622411
2022-01-13,-0.013521692194090053
2022-01-14,0.005098464923890228
2022-01-18,-0.020455596817381468
2022-01-19,-0.01744485080185209
2022-01-20,-0.01626757195641019
2022-01-21,-0.03904748974088807
2022-01-24,-0.0021393167599146165
2022-01-25,-0.0165481858796789
2022-01-26,-0.004891051948730957
2022-01-27,-0.010969043062619022
2022-01-28,0.021241802421989746
2022-01-31,0.03905417770295242
2022-02-01,0.012287470212130292
2022-02-02,0.004401128231311202
2022-02-03,-0.036430470130773177
2022-02-04,0.009053057329465802
2022-02-07,-0.00253591051644738
2022-02-08,0.008902247967524647
2022-02-09,0.020848586923791473
2022-02-10,-0.014215542870315298
2022-02-11,-0.03062324477607428
2022-02-14,0.000730896970148375
2022-02-15,0.028761174713765297
2022-02-16,-0.003467682677442621
2022-02-17,-0.02818862682615227
2022-02-18,-0.006176521288662961
2022-02-22,-0.016707664937464294
2022-02-23,-0.02638163357004843
2022-02-24,0.02104500565044104
2022-02-25,0.021117384836248813
2022-02-28,-0.0028613067458172405
2022-03-01,-0.01931486917807121
2022-03-02,0.016809638607450654
2022-03-03,-0.015470106543257036
2022-03-04,-0.012277253149250027
2022-03-07,-0.03758777953560964
2022-03-08,-0.0020359111932937053
2022-03-09,0.03374735476497526
2022-03-10,-0.007845338528586177
2022-03-11,-0.0171870233493933
2022-03-14,-0.009633836935052254
2022-03-15,0.028449548804797435
2022-03-16,0.03246561191133054
2022-03-17,0.009243732864061443
2022-03-18,0.01905916784352666
2022-03-21,-0.00035640233818803315
2022-03-22,0.017196014165337017
2022-03-23,-0.010503296104383799
2022-03-24,0.022278739794527755
2022-03-25,-0.001715619766628746
2022-03-28,0.011451664429500708
2022-03-29,0.016146335648767683
2022-03-30,-0.009591987360264825
2022-03-31,-0.01990014506605082
2022-04-01,-0.0005339314681166722
2022-04-04,0.015155934567241531
2022-04-05,-0.02817667495727267
2022-04-06,-0.02313118769007428
2022-04-07,0.001988923666770198
2022-04-08,-0.007424734878216543
2022-04-11,-0.020461948231602103
2022-04-12,-0.003758684380262595
2022-04-13,0.018727521555394564
2022-04-14,-0.017392002077959424
2022-04-18,-0.0008656193526049903
2022-04-19,0.019591858165225403
2022-04-20,-0.03355867343845993
2022-04-21,-0.024788795674505183
2022-04-22,-0.026488461081729142
2022-04-25,0.009440686956174282
2022-04-26,-0.039487974624220344
2022-04-27,-0.007646456837180177
2022-04-28,0.03596247446128516
2022-04-29,-0.04101628067812721
2022-05-02,0.02041971163377304
2022-05-03,0.00594631359356504
2022-05-04,0.03330197227218193
2022-05-05,-0.0470388059818416
2022-05-06,-0.009353339983921233
2022-05-09,-0.041061850814241324
2022-05-10,0.009014120094083174
2022-05-11,-0.023244440510866583
2022-05-12,-0.0035974658340205135
2022-05-13,0.03916336424585894
2022-05-16,-0.00944571785084286
2022-05-17,0.02996639133155309
2022-05-18,-0.04355224050246739
2022-05-19,-0.0030948346901114696
2022-05-20,-0.006234221411011082
2022-05-23,0.022299906501478957
2022-05-24,-0.024432417563052734
2022-05-25,0.017796709199296188
2022-05-26,0.02644161551275955
2022-05-27,0.028761375008159562
2022-05-31,0.0013561318481044523
2022-06-01,-0.006996525781718527
2022-06-02,0.026664906286878204
2022-06-03,-0.0222737689166069
2022-06-06,0.0037012828216977213
2022-06-07,0.009415648426862794
2022-06-08,-0.0059818503873626866
2022-06-09,-0.03474412575248757
2022-06-10,-0.03731884124524497
2022-06-13,-0.05678151633768862
2022-06-14,0.006420372750752567
2022-06-15,0.02781344312066504
2022-06-16,-0.04350032380788409
2022-06-17,0.005703232454451446
2022-06-21,0.022584019739509003
2022-06-22,0.00019967663131515947
2022-06-23,0.00693018755539741
2022-06-24,0.0379126561149693
2022-06-27,-0.004644291268186579
2022-06-28,-0.024163756469117267
2022-06-29,-0.00657296360738518
2022-06-30,-0.013670596181105572
2022-07-01,0.008064078731543172
2022-07-05,0.00997915894453131
2022-07-06,0.002536039885657121
2022-07-07,0.031194691922564705
2022-07-08,-0.0012424082539841787
2022-07-11,-0.023900393858968125
2022-07-12,-0.009508790726216071
2022-07-13,0.00048051042030077267
2022-07-14,-0.008347184415485232
2022-07-15,0.026089723749177597
2022-07-18,-0.00016707522613027014
2022-07-19,0.03641899796427759
2022-07-20,0.01823450597902177
2022-07-21,0.011315377163661246
2022-07-22,-0.01998755614474168
2022-07-25,0.0034122210318379034
2022-07-26,-0.021904031668937868
2022-07-27,0.036467389904265825
2022-07-28,0.009042185712289758
2022-07-29,0.02380586835380627
2022-08-01,0.0053703902687132765
