Date,Ticker,gk_vol,rsi,bb_mavg,bb_hband,bb_lband,atr,macd_diff,dollar_vol
2017-05-31,AMZN,6.223513607987805e-05,,72.66005005836487,156.92638865185688,-11.606288535127135,0.0,2.65768606771406,3242644282.042367
2017-05-31,AAPL,3.676345191716006e-05,,66.6797513961792,137.0357780940255,-3.67627530166709,0.0,-1.5891645339389942,3242431940.572248
2017-05-31,NVDA,0.00040977406200285333,,99.15843805074692,353.8033540642358,-155.48647796274193,0.0,-8.289007759714735,2816752203.682491
2017-05-31,META,5.0092130609078045e-05,,79.7208062171936,165.09872220615839,-5.657109771771189,0.0,1.8780394611652582,2356172258.493914
2017-05-31,TSLA,0.00019906709861719065,,74.17544856071473,195.03438732910587,-46.68349020767643,0.0,-3.566342572713129,2049749765.1398523
2017-05-31,BAC,0.0001624914224992636,,106.30438594818115,359.2434222751849,-146.63465037882258,0.0,8.704032182644408,1719240967.020825
2017-05-31,GOOGL,5.3609500137496835e-05,,66.2305926322937,159.2928351838426,-26.8316499192552,0.0,-2.741467137805813,1531555175.5207608
2017-05-31,GOOG,5.3681350591205504e-05,,70.1693678855896,166.64668196713188,-26.30794619595268,0.0,-3.7130271209703753,1408466008.608137
2017-05-31,MSFT,4.1265524884777446e-05,,94.03617696762085,222.2386941159952,-34.166340180753494,0.0,-3.386981518833766,1344420916.5851047
2017-05-31,JPM,7.670761166554243e-05,,67.92548427581787,150.84780134065173,-14.996832789015997,0.0,0.9492812919875995,1136861615.3324673
2017-05-31,GE,9.581507550072052e-05,,81.66096777915955,202.72165110631244,-39.39971554799335,0.0,4.197248647923894,977861434.1266785
2017-05-31,C,0.00011182242550265985,,183.76348028182983,982.5190973313438,-614.9921367676841,0.0,-28.58921537373252,880861642.2178541
2017-05-31,WFC,8.979849544142005e-05,,75.85762805938721,149.10904978300624,2.6062063357681637,0.0,-2.5231476421307395,880529798.1523787
2017-05-31,CMCSA,0.00010170938100542175,,87.63362703323364,227.7141751213908,-52.446921054923536,0.0,2.574090003785411,875062732.9732077
2017-05-31,BKNG,4.782831506556091e-05,,202.86813049316407,1013.2109793229895,-607.4747183366615,0.0,110.46786521087894,826269940.6982422
2017-05-31,GS,0.0001613130657991381,,73.36159229278564,181.29155246731773,-34.568367881746425,0.0,11.198110382585586,802076100.9972708
2017-05-31,XOM,3.21031366646028e-05,,71.47920198440552,155.90951751840458,-12.951113549593543,0.0,3.4766324340694226,785279438.4084429
2017-05-31,CSCO,0.00010136078479963849,,76.45284864902496,173.29374768314548,-20.388050385095568,0.0,-1.308336263992441,783351000.6140028
2017-05-31,NFLX,9.715656176404246e-05,,94.1198935508728,332.5666368836112,-144.32684978186555,0.0,-2.5963084846060904,775387766.2952968
2017-05-31,LOW,0.00011690776720263992,,81.5743194580078,208.17790504258014,-45.02926612656452,0.0,2.006931107849949,765788095.3678676
2017-05-31,QCOM,7.777698151421692e-05,,82.64964056015015,177.01087993257386,-11.711598812273579,0.0,-3.183032128199139,725759415.8635275
2017-05-31,DIS,2.9564932137057852e-05,,58.352236890792845,128.6893065841831,-11.984832802597403,0.0,4.622974380089443,714662977.0273482
2017-05-31,AZO,0.00034682834360533644,,104.84843578338624,353.85289452982363,-144.15602296305113,0.0,31.661094738039733,705561923.5613142
2017-05-31,V,3.0114675614482162e-05,,95.84476237297058,223.13196167927214,-31.442436933330967,0.0,-3.144251903649854,690896671.3483537
2017-05-31,HD,3.984379116998659e-05,,78.60772166252136,181.74767286137765,-24.53222953633494,0.0,3.9655669676474803,686666862.2209822
2017-05-31,MU,0.0002511678636120933,,110.09872016906738,354.522346951127,-134.32490661299227,0.0,14.75741346677809,683299454.4554846
2017-05-31,PFE,4.4310924235689644e-05,,61.19578227996826,161.30236143919777,-38.910796879261234,0.0,-3.95844735216599,641606782.2236388
2017-05-31,T,2.3549107574680135e-05,,87.9608106136322,190.61579395356273,-14.694172726298333,0.0,-4.621105926438188,641562769.1575838
2017-05-31,JNJ,2.838908883015478e-05,,75.71248426437378,165.31316038738325,-13.888191858635679,0.0,4.107176957511623,630027544.279153
2017-05-31,BBY,0.0005738001665812975,,100.96182327270508,352.98307143133627,-151.0594248859261,0.0,-8.773269694472074,620161531.1716897
2017-05-31,MO,6.39619557897395e-05,,106.76778373718261,236.2718420930065,-22.73627461864129,0.0,-5.327684578027524,603231011.9648525
2017-05-31,KO,2.5636738588191912e-05,,62.59464273452759,135.96346882400664,-10.774183354951454,0.0,-0.31712783968098,597949382.2639465
2017-05-31,GM,0.00023313828030791482,,77.17871761322021,187.4365858240502,-33.0791505976098,0.0,-4.462985892718343,596883067.2495706
